person_id,age,gender,education,primary_news_source,media_trust,daily_media_min,willing_to_pay
1,42,ženski,viša/prvostupnik,portal,4,178,0
2,24,muški,srednja,društvene mreže,2,130,14
3,28,muški,srednja,društvene mreže,4,120,0
4,68,ženski,osnovna,TV,9,224,45
5,22,muški,srednja,društvene mreže,1,127,0
6,42,muški,osnovna,društvene mreže,1,198,11
7,58,muški,srednja,portal,6,248,0
8,19,ženski,srednja,portal,4,153,32
9,69,ženski,srednja,TV,6,293,42
10,35,muški,srednja,TV,3,174,0
11,22,muški,viša/prvostupnik,tisak,6,145,0
12,69,ženski,srednja,TV,3,288,48
13,56,ženski,osnovna,društvene mreže,2,300,0
14,24,muški,viša/prvostupnik,društvene mreže,2,229,26
15,69,muški,srednja,društvene mreže,2,150,0
16,48,ženski,magistar/doktor,TV,7,112,0
17,53,ženski,osnovna,TV,7,118,10
18,23,ženski,magistar/doktor,društvene mreže,4,226,0
19,21,ženski,srednja,društvene mreže,1,146,22
20,35,muški,viša/prvostupnik,društvene mreže,6,136,0
21,56,ženski,viša/prvostupnik,portal,5,217,25
22,56,ženski,magistar/doktor,tisak,3,238,0
23,23,muški,viša/prvostupnik,TV,7,117,39
24,20,muški,viša/prvostupnik,TV,4,143,0
25,49,muški,srednja,TV,5,34,0
26,27,ženski,srednja,društvene mreže,3,267,0
27,28,ženski,magistar/doktor,društvene mreže,4,162,0
28,25,muški,viša/prvostupnik,portal,3,104,0
29,68,muški,srednja,TV,7,218,0
30,59,muški,viša/prvostupnik,TV,9,172,0
31,32,ženski,viša/prvostupnik,tisak,6,160,68
32,36,muški,srednja,društvene mreže,5,201,0
33,33,muški,srednja,portal,3,297,0
34,40,muški,viša/prvostupnik,društvene mreže,6,119,80
35,59,ženski,osnovna,društvene mreže,4,279,39
36,51,ženski,srednja,TV,6,229,0
37,46,ženski,viša/prvostupnik,TV,7,74,63
38,59,muški,magistar/doktor,portal,8,117,66
39,50,ženski,srednja,portal,7,135,31
40,34,ženski,srednja,portal,7,283,0
41,56,muški,magistar/doktor,portal,5,125,0
42,24,ženski,srednja,portal,3,135,0
43,69,ženski,osnovna,TV,6,106,0
44,59,muški,srednja,TV,4,147,32
45,32,muški,viša/prvostupnik,radio,8,65,35
46,49,muški,srednja,TV,6,113,36
47,18,muški,srednja,društvene mreže,3,238,0
48,30,muški,srednja,društvene mreže,1,141,0
49,76,muški,viša/prvostupnik,TV,3,331,0
50,69,ženski,srednja,TV,9,153,0
51,42,ženski,viša/prvostupnik,radio,5,137,20
52,44,muški,magistar/doktor,radio,7,167,77
53,40,ženski,srednja,društvene mreže,3,166,26
54,43,muški,srednja,društvene mreže,5,143,0
55,53,ženski,viša/prvostupnik,portal,4,247,0
56,66,muški,osnovna,radio,4,229,0
57,63,ženski,osnovna,TV,7,283,42
58,40,muški,magistar/doktor,društvene mreže,1,135,0
59,50,ženski,srednja,portal,4,220,0
60,20,muški,viša/prvostupnik,portal,5,150,47
61,78,ženski,srednja,TV,5,119,0
62,26,muški,srednja,društvene mreže,2,224,0
63,43,ženski,srednja,TV,3,225,0
64,50,muški,viša/prvostupnik,društvene mreže,2,255,58
