campaign_id,subject_line_type,send_time,open_rate,click_rate,unsubscribe
1,promotional,evening,0.1133,0.0511,0.0006
2,urgent,morning,0.1897,0.0539,0.0086
3,promotional,afternoon,0.2476,0.069,0.0041
4,urgent,morning,0.1747,0.0536,0.0099
5,urgent,evening,0.1589,0.056,0.0076
6,promotional,evening,0.1042,0.0529,0.0018
7,urgent,afternoon,0.1728,0.0819,0.0073
8,urgent,evening,0.1208,0.0341,0.0058
9,personalized,morning,0.1917,0.0665,0.0102
10,personalized,morning,0.2244,0.0904,0.0043
11,informational,night,0.1019,0.0085,0.0041
12,informational,evening,0.1894,0.0495,0.0051
13,personalized,morning,0.2085,0.0666,0.0057
14,urgent,evening,0.1302,0.0577,0.0051
15,promotional,morning,0.1646,0.068,0.0038
16,informational,morning,0.2618,0.076,0.0034
17,informational,night,0.1099,0.0288,0.0057
18,personalized,afternoon,0.2755,0.0934,0.001
19,urgent,night,0.1752,0.0507,0.0048
20,personalized,afternoon,0.2623,0.0509,0.0032
21,personalized,afternoon,0.2064,0.0497,0.0075
22,personalized,evening,0.2349,0.0927,0.007
23,urgent,afternoon,0.1073,0.0609,0.0035
24,urgent,evening,0.1635,0.0187,0.0049
25,personalized,night,0.1529,0.0637,0.0082
26,promotional,night,0.1142,0.0436,0.0059
27,personalized,afternoon,0.1777,0.044,0.0003
28,personalized,morning,0.1681,0.0511,0.002
29,urgent,morning,0.1155,0.0425,0
30,promotional,morning,0.1542,0.0389,0.0137
31,promotional,evening,0.0505,0.001,0.0008
32,promotional,morning,0.1344,0.0385,0.0005
33,promotional,afternoon,0.0861,0.0232,0.0066
34,informational,evening,0.122,0.0145,0.0016
35,promotional,night,0.1036,0.0217,0.0066
36,promotional,morning,0.1768,0.0532,0.0064
37,promotional,night,0.0393,0.0407,0.0039
38,informational,afternoon,0.2047,0.0751,0.0018
39,urgent,morning,0.1332,0.0517,0.0072
40,informational,afternoon,0.2347,0.0395,0.0047
41,informational,night,0.0865,0.028,0.0082
42,personalized,evening,0.2262,0.0439,0.0079
43,promotional,night,0.0819,0.0351,0.0083
44,urgent,morning,0.2077,0.0577,0.0046
45,urgent,morning,0.2372,0.0609,0.009
46,urgent,evening,0.2324,0.0814,0.0051
47,informational,evening,0.1774,0.0392,0.0031
48,informational,evening,0.125,0.0232,0.0018
49,urgent,afternoon,0.165,0.0829,0.004
50,urgent,night,0.2003,0.0866,0.004
51,informational,evening,0.1579,0.0602,0.0077
52,urgent,morning,0.1852,0.0931,0.0066
53,informational,afternoon,0.1695,0.0563,0.0081
54,informational,afternoon,0.1272,0.0707,0.0088
55,urgent,night,0.1688,0.0473,0.005
56,promotional,night,0.1413,0.0447,0.0009
57,promotional,afternoon,0.1165,0.0629,0
58,informational,afternoon,0.2543,0.076,0.0082
59,personalized,afternoon,0.229,0.08,0.0071
60,informational,morning,0.0813,0.001,0.0029
61,promotional,afternoon,0.1769,0.0554,0.0102
62,promotional,evening,0.1303,0.0519,0.0095
63,urgent,afternoon,0.2122,0.0411,0.0022
64,informational,morning,0.1727,0.0258,0.0066
65,promotional,morning,0.2071,0.0794,0.0078
66,promotional,evening,0.1623,0.0854,0.0058
67,personalized,evening,0.1507,0.0572,0.0062
68,personalized,morning,0.2209,0.0517,0.0045
69,personalized,night,0.1408,0.0252,0.0081
70,personalized,morning,0.2004,0.0806,0.0056
71,informational,evening,0.1408,0.0377,0.0066
72,personalized,morning,0.3303,0.0998,0.0062
73,promotional,evening,0.249,0.0689,0.0016
74,promotional,night,0.0877,0.0413,0.0042
75,promotional,morning,0.223,0.0722,0.0031
76,personalized,afternoon,0.1769,0.0598,0.0051
77,informational,night,0.0936,0.001,0.0041
78,urgent,afternoon,0.1747,0.0333,0.0064
79,informational,morning,0.0664,0.0361,0.0079
80,informational,evening,0.1223,0.0303,0.0054
81,informational,morning,0.1345,0.0328,0.0049
82,promotional,morning,0.0603,0.0287,0.0034
83,promotional,morning,0.2154,0.0721,0.0045
84,informational,evening,0.17,0.0648,0.0072
85,promotional,morning,0.2697,0.1027,0.0063
86,personalized,afternoon,0.2952,0.0726,0.0059
87,personalized,evening,0.2124,0.0527,0.0071
88,promotional,morning,0.1377,0.0296,0.0075
89,urgent,evening,0.2501,0.0959,0.007
90,personalized,afternoon,0.1691,0.0738,0.0084
91,informational,morning,0.2417,0.0682,0.0031
92,promotional,morning,0.1205,0.0309,0.005
93,personalized,night,0.1467,0.0932,0.0105
94,urgent,night,0.189,0.0762,0.0053
95,urgent,morning,0.2058,0.081,0.003
96,personalized,morning,0.19,0.0391,0.0043
97,promotional,evening,0.224,0.0468,0.0065
98,promotional,evening,0.0654,0.0154,0.0009
99,urgent,morning,0.2204,0.0424,0.0117
100,personalized,night,0.1528,0.0175,0.0072
101,personalized,afternoon,0.2744,0.0768,0.0072
102,promotional,evening,0.1258,0.0528,0
103,promotional,afternoon,0.1556,0.0301,0.0042
104,personalized,evening,0.1809,0.0525,0.0073
105,promotional,morning,0.1393,0.0693,0.008
106,urgent,night,0.0698,0.0236,0.005
107,promotional,evening,0.0318,0.0143,0.0052
108,promotional,evening,0.1445,0.0636,0.0027
109,promotional,night,0.1639,0.08,0.004
110,informational,afternoon,0.2495,0.0671,0.0038
111,promotional,afternoon,0.1605,0.0518,0.0026
112,personalized,morning,0.151,0.0317,0.0043
113,personalized,evening,0.283,0.0888,0.0072
114,promotional,afternoon,0.0994,0.0251,0.006
115,urgent,morning,0.1613,0.0474,0.0037
116,urgent,morning,0.2408,0.0466,0.0002
117,informational,morning,0.1243,0.0685,0.0034
118,personalized,night,0.2311,0.0849,0.0041
119,promotional,afternoon,0.1219,0.0488,0.0074
120,promotional,afternoon,0.2041,0.0698,0.0016
121,personalized,afternoon,0.1721,0.0699,0.0041
122,promotional,morning,0.1412,0.1027,0.0026
123,urgent,morning,0.2332,0.0499,0.0082
124,urgent,evening,0.171,0.0467,0.0107
125,personalized,afternoon,0.1775,0.0848,0.0072
126,personalized,morning,0.2369,0.0635,0.002
127,urgent,evening,0.2092,0.0751,0.0075
128,urgent,afternoon,0.2019,0.0408,0.006
129,informational,afternoon,0.1585,0.0274,0.0036
130,personalized,evening,0.1732,0.0465,0.0063
131,urgent,night,0.1247,0.0371,0
132,informational,afternoon,0.1538,0.0487,0.0046
133,promotional,night,0.1222,0.062,0.0095
134,informational,morning,0.13,0.0412,0.0044
135,informational,morning,0.2326,0.0995,0.0107
136,personalized,afternoon,0.167,0.0292,0.0072
137,personalized,morning,0.1936,0.09,0.0029
138,promotional,morning,0.2236,0.1074,0.008
139,urgent,night,0.0971,0.0051,0.0004
140,informational,afternoon,0.1831,0.0505,0.0011
141,promotional,afternoon,0.2032,0.0446,0.002
142,urgent,evening,0.2058,0.0396,0.0063
143,personalized,morning,0.2485,0.0977,0.0085
144,urgent,evening,0.171,0.0436,0.0074
145,informational,afternoon,0.2663,0.0924,0.0086
146,urgent,evening,0.0984,0.0049,0.0031
147,promotional,evening,0.1221,0.0464,0.0045
148,informational,evening,0.1807,0.0686,0.0041
149,promotional,afternoon,0.1362,0.0313,0.0065
150,informational,morning,0.257,0.0725,0.0045
151,informational,morning,0.0723,0.0244,0.0033
152,urgent,night,0.1827,0.0174,0.0043
153,personalized,morning,0.2184,0.0217,0.0096
154,urgent,evening,0.2247,0.0767,0.0058
155,personalized,morning,0.3304,0.092,0.0049
156,promotional,evening,0.0921,0.0376,0.0073
157,urgent,morning,0.1863,0.0391,0.0078
158,personalized,afternoon,0.1957,0.0747,0.0013
159,promotional,morning,0.1667,0.0766,0.0065
160,informational,evening,0.1021,0.008,0.0056
161,informational,night,0.1207,0.0492,0.0102
162,informational,morning,0.0787,0.0023,0.0064
163,informational,afternoon,0.2241,0.0746,0.0018
164,informational,evening,0.0813,0.001,0.0054
165,informational,evening,0.1825,0.0204,0.0033
166,urgent,evening,0.1025,0.0146,0.0043
167,informational,morning,0.2687,0.0708,0.0053
168,urgent,evening,0.101,0.0306,0.0082
169,informational,night,0.1983,0.0515,0.0033
170,informational,night,0.1687,0.072,0
171,urgent,afternoon,0.2188,0.0685,0.0063
172,urgent,morning,0.2932,0.0716,0.004
173,personalized,night,0.1451,0.0572,0
174,personalized,night,0.2526,0.0733,0.0023
175,promotional,evening,0.094,0.0328,0.0076
176,promotional,evening,0.0839,0.0423,0.0077
177,promotional,night,0.1934,0.0748,0.0094
178,promotional,morning,0.1203,0.0173,0.0047
179,informational,afternoon,0.1764,0.0359,0.0045
180,informational,evening,0.0869,0.0192,0.0068
181,informational,morning,0.1748,0.0533,0.0063
182,urgent,night,0.1445,0.0591,0.0056
183,promotional,afternoon,0.0983,0.007,0.0099
184,urgent,night,0.1705,0.0735,0.0086
185,personalized,morning,0.2945,0.0993,0.0036
186,promotional,morning,0.0872,0.025,0.0013
187,informational,morning,0.1571,0.0118,0.0064
188,personalized,evening,0.2511,0.0459,0.0072
189,personalized,evening,0.1648,0.0518,0.0089
190,urgent,evening,0.1404,0.0293,0.0059
191,urgent,evening,0.0445,0.0179,0.0028
192,promotional,night,0.1197,0.029,0
193,promotional,night,0.1496,0.0985,0.0033
194,personalized,night,0.2088,0.0362,0.0033
195,personalized,afternoon,0.27,0.0302,0.0065
196,urgent,afternoon,0.1972,0.0767,0.0065
197,urgent,afternoon,0.2344,0.0788,0.0008
198,informational,morning,0.2082,0.0513,0.0085
