respondent_id,age,gender,platform,daily_minutes,trust_score,education
1,58,M,YouTube,65,1.6,diplomski
2,52,M,TikTok,92,1.2,preddiplomski
3,50,F,YouTube,70,3.5,preddiplomski
4,35,F,Instagram,64,5.8,diplomski
5,39,M,Instagram,103,3.3,preddiplomski
6,40,F,Facebook,86,5.4,preddiplomski
7,42,M,Instagram,53,3.2,srednja
8,22,M,Instagram,91,2.7,srednja
9,32,F,TikTok,62,2.0,preddiplomski
10,60,M,Twitter,76,4.9,preddiplomski
11,28,F,Instagram,101,6.6,diplomski
12,32,F,Facebook,122,5.7,preddiplomski
13,20,F,TikTok,201,4.4,diplomski
14,31,F,TikTok,145,6.5,preddiplomski
15,34,M,YouTube,64,3.6,preddiplomski
16,41,M,LinkedIn,86,4.1,srednja
17,21,F,Instagram,162,4.6,preddiplomski
18,56,Other,TikTok,106,6.8,diplomski
19,18,F,Instagram,181,5.6,preddiplomski
20,36,M,TikTok,75,6.7,diplomski
21,34,Other,Facebook,98,4.8,diplomski
22,50,F,Instagram,79,5.6,preddiplomski
23,51,F,YouTube,63,3.2,doktorski
24,37,M,Instagram,107,4.4,srednja
25,64,F,Instagram,55,1.8,preddiplomski
26,53,M,TikTok,23,4.6,doktorski
27,52,F,YouTube,69,5.0,preddiplomski
28,51,F,Instagram,49,1.4,srednja
29,53,M,Instagram,112,2.4,doktorski
30,39,M,Instagram,120,5.0,preddiplomski
31,26,F,Facebook,108,3.8,preddiplomski
32,24,M,TikTok,122,3.5,preddiplomski
33,64,M,YouTube,46,5.4,diplomski
34,24,M,Instagram,124,3.7,preddiplomski
35,35,F,Facebook,159,6.1,srednja
36,59,Other,Facebook,87,6.8,doktorski
37,33,M,TikTok,121,1.4,preddiplomski
38,42,M,Facebook,126,3.7,preddiplomski
39,64,Other,YouTube,49,2.8,doktorski
40,55,F,Instagram,53,2.9,srednja
41,48,F,Facebook,126,1.5,srednja
42,56,M,Facebook,132,3.4,doktorski
43,54,M,YouTube,49,4.5,preddiplomski
44,34,M,YouTube,91,2.4,preddiplomski
45,60,F,TikTok,123,1.1,preddiplomski
46,54,Other,Instagram,42,2.3,preddiplomski
47,40,F,Facebook,88,6.0,diplomski
48,57,Other,Facebook,79,4.2,diplomski
49,53,M,YouTube,89,1.7,srednja
50,53,M,Instagram,68,2.3,preddiplomski
51,61,F,Instagram,10,6.1,srednja
52,45,F,Instagram,95,3.0,srednja
53,34,M,TikTok,101,1.7,doktorski
54,62,F,TikTok,19,6.0,preddiplomski
55,27,M,Instagram,80,6.8,srednja
56,40,M,Instagram,152,1.6,diplomski
57,44,Other,YouTube,112,2.0,diplomski
58,29,F,Instagram,112,5.4,preddiplomski
59,44,F,Facebook,101,5.7,srednja
60,20,F,Instagram,118,5.9,preddiplomski
61,37,F,Facebook,113,3.4,preddiplomski
62,22,Other,Instagram,179,4.8,preddiplomski
63,52,M,Instagram,93,4.5,doktorski
64,20,M,TikTok,124,5.4,preddiplomski
65,56,Other,Instagram,84,1.3,preddiplomski
66,51,F,TikTok,67,5.3,diplomski
67,60,M,TikTok,124,4.7,diplomski
68,25,F,TikTok,109,2.9,preddiplomski
69,43,F,YouTube,110,3.3,diplomski
70,29,F,TikTok,163,4.3,srednja
71,36,M,Facebook,87,3.7,diplomski
72,50,F,Twitter,64,5.8,srednja
73,23,M,YouTube,124,6.7,preddiplomski
74,37,M,Instagram,97,1.1,preddiplomski
75,48,F,Facebook,24,4.5,diplomski
76,42,F,Instagram,113,4.9,srednja
77,24,F,Instagram,147,3.8,preddiplomski
78,25,F,Facebook,86,5.0,doktorski
79,56,M,Facebook,16,6.4,preddiplomski
80,53,M,Instagram,93,6.2,preddiplomski
81,33,F,Instagram,120,2.4,preddiplomski
82,63,M,Instagram,20,2.9,preddiplomski
83,26,M,TikTok,140,3.5,preddiplomski
84,47,M,Instagram,103,3.5,doktorski
85,55,Other,Instagram,99,3.9,doktorski
86,37,F,Facebook,79,6.7,preddiplomski
87,65,F,Facebook,78,2.6,preddiplomski
88,42,M,YouTube,75,3.4,srednja
89,47,F,LinkedIn,22,4.6,diplomski
90,23,F,Instagram,120,3.8,srednja
91,42,M,TikTok,64,2.7,doktorski
92,44,M,Instagram,145,1.1,preddiplomski
93,40,M,Instagram,108,1.2,preddiplomski
94,19,F,Instagram,140,3.8,srednja
95,31,F,Instagram,90,6.8,diplomski
96,28,Other,Instagram,154,1.2,preddiplomski
97,61,F,TikTok,77,4.6,diplomski
98,33,M,Facebook,107,6.1,preddiplomski
99,25,F,YouTube,166,5.0,srednja
100,59,M,Facebook,71,5.9,srednja
101,41,F,Facebook,89,5.4,doktorski
102,35,F,Twitter,79,5.6,preddiplomski
103,64,F,TikTok,54,2.7,preddiplomski
104,47,F,YouTube,156,3.0,preddiplomski
105,38,M,Instagram,112,6.3,diplomski
106,35,F,TikTok,84,2.1,preddiplomski
107,44,F,Facebook,76,3.9,diplomski
