post_id,platform,content_type,followers,likes,shares,comments,hashtags,post_hour,day_of_week,is_viral
1,Instagram,slika,2398,202,7,11,14,11,utorak,False
2,Instagram,carousel,19468,255,20,8,10,8,subota,False
3,Instagram,story,1386,75,9,3,6,18,srijeda,False
4,TikTok,reel,1221,55,13,3,4,12,ponedjeljak,False
5,Twitter/X,video,26918,0,0,0,0,11,utorak,False
6,Instagram,tekst,9229,44,7,4,15,23,nedjelja,False
7,Facebook,slika,1603,132,20,0,3,11,utorak,False
8,TikTok,video,17998,721,28,9,14,7,petak,False
9,TikTok,story,4187,439,29,46,16,17,petak,False
10,TikTok,video,1407,37,4,1,10,20,subota,False
11,TikTok,video,41982,3018,431,22,9,19,subota,False
12,YouTube,carousel,1147,37,7,0,2,13,cetvrtak,False
13,TikTok,reel,2278,217,10,15,15,9,nedjelja,False
14,LinkedIn,video,8751,943,89,118,4,14,subota,False
15,TikTok,reel,6209,346,45,8,8,16,nedjelja,False
16,Twitter/X,tekst,4878,117,6,5,1,12,srijeda,False
17,Twitter/X,tekst,5312,0,0,0,3,14,srijeda,False
18,YouTube,video,1844,96,5,1,0,15,nedjelja,False
19,TikTok,reel,4051,498,47,41,9,9,ponedjeljak,False
20,Facebook,tekst,410514,32621,2774,1595,5,19,cetvrtak,False
21,LinkedIn,reel,6160,238,35,12,5,8,srijeda,False
22,TikTok,reel,8330,612,106,79,13,10,subota,False
23,TikTok,video,25063,2452,100,77,17,18,ponedjeljak,False
24,Facebook,tekst,2481,34,1,0,5,20,ponedjeljak,False
25,YouTube,slika,1395,6,1,0,2,8,petak,False
26,Twitter/X,video,14998,206,7,12,4,14,srijeda,False
27,YouTube,video,12715,1268,101,94,2,14,utorak,False
28,Instagram,story,4412,113,11,2,3,22,utorak,False
29,Instagram,carousel,5489,340,3,7,20,6,utorak,False
30,TikTok,video,1768,7,1,0,23,16,ponedjeljak,False
31,Instagram,video,376,61,0,3,19,18,petak,False
32,Twitter/X,reel,47067,4665,765,436,6,20,petak,False
33,TikTok,reel,26161,2505,124,202,9,15,subota,False
34,Instagram,tekst,6555,67,7,9,17,8,ponedjeljak,False
